passo,gamma_t,c_total,sd_total,c_inter,sd_inter,c_intra
0,0,0,0,0,0,0
10,1,0.81653179411062748,0.0021626654606591686,0.043876716706373574,0.00012636310867245561,0.77265507740425388
20,2,2.0210961451869554,0.0074534655929328047,0.26991304511092573,0.0011010040240482897,1.7511831000760296
30,3,3.8028030435271094,0.022772870811256955,0.89900162181527499,0.0064857436796658856,2.9038014217118344
40,4,6.3722697859916249,0.027302781120441023,2.2507478556542138,0.012432053417175211,4.1215219303374111
50,5,10.042853787996647,0.042386350175407601,4.73393192923358,0.02142061704610683,5.3089218587630667
60,6,14.982691371986276,0.072940875423264481,8.6535163824249572,0.040253570961568771,6.3291749895613183
70,7,21.149579240158996,0.14651738748539983,14.053049688855037,0.094646706484547871,7.0965295513039592
80,8,28.653014698865341,0.28183092965000917,20.957295423581257,0.21398790034256543,7.6957192752840839
90,9,36.742695887278686,0.40323332311133497,28.628424190826433,0.31929119869256356,8.1142716964522528
100,10,44.315476538946832,0.5759155324192442,35.901157226911181,0.47150069805876405,8.4143193120356514
110,11,51.562034780284293,0.50021244082329208,42.707542499014565,0.42601363904316941,8.854492281269728
120,12,56.91752960080278,0.67442645216882724,47.772798373685717,0.58134006945503525,9.1447312271170631
130,13,61.501478614360543,0.83835553460628043,51.982142734011923,0.72982437328965621,9.5193358803486205
140,14,62.979898789212321,0.90547213707665053,53.419521858071896,0.78491210197053574,9.560376931140425
150,15,63.046669157865551,1.2207899162432079,53.569321351716432,1.0590565848207028,9.477347806149119
160,16,59.995407058693083,1.1629454384186009,50.97038381294891,1.0188044517927075,9.0250232457441726
170,17,56.487805602091598,0.95753374412483705,47.984413658808094,0.84593291299408069,8.5033919432835035
180,18,52.10719855361679,0.6897695542822152,44.227892134276821,0.61136634904623288,7.8793064193399687
190,19,48.498502568627408,0.77112838041094156,41.185354765497131,0.68281376474356059,7.3131478031302777
200,20,44.235475789200315,0.86017516387828596,37.58189805963513,0.75727474798205929,6.6535777295651855
210,21,40.023477199351333,0.7530207101829508,34.007023714554244,0.6605084841778216,6.0164534847970899
220,22,36.460979527588464,0.7152855256418259,30.987115659899004,0.62675957760437262,5.4738638676894595
230,23,32.368427177230153,0.71697124760462982,27.497351979997749,0.62681625133857177,4.871075197232404
240,24,28.976066343006771,0.60105166265765508,24.589365008427304,0.52655520763757346,4.3867013345794668
250,25,25.514383339302743,0.57554772350264838,21.634210587070235,0.50512794983434939,3.8801727522325073
260,26,22.47875901084204,0.4187353364679674,19.027108635067911,0.36356741010834298,3.451650375774129
270,27,20.486880297859464,0.58118508187881346,17.335396932094408,0.51060202643471131,3.1514833657650563
280,28,18.110290513217713,0.59769332122992802,15.29548709329913,0.52564700166684764,2.814803419918583
290,29,16.442207071456714,0.63295886320489547,13.869279633467949,0.56281921583473349,2.5729274379887652
300,30,14.801598872601724,0.48975421225321603,12.475961024382931,0.43714159879888687,2.3256378482187934
310,31,13.228386470963164,0.40870471917062129,11.139638411458645,0.36364249164089896,2.0887480595045194
320,32,11.564029573980054,0.35398505265011504,9.7289502295158563,0.31670115530219617,1.835079344464198
330,33,10.240120597866987,0.32999880553113442,8.5982538025860134,0.29628253368406737,1.6418667952809738
340,34,9.0635074958303701,0.30830096310645,7.6001082890612812,0.27556020431624001,1.4633992067690889
350,35,8.1243379779932514,0.27594910451957733,6.8165822224824595,0.24203766106470825,1.3077557555107919
360,36,7.1695571571163184,0.2289393136435294,6.0067929133025348,0.19984385205948327,1.1627642438137835
370,37,6.5217898255100089,0.17222796500139501,5.4657003799005244,0.15094497610106677,1.0560894456094845
380,38,5.9811426391966034,0.16413687247840947,4.9999022370686923,0.1475053312429459,0.98124040212791108
390,39,5.346654326920075,0.11654741751366321,4.4508997265936614,0.10474330327584153,0.89575460032641363
400,40,4.8719055351715435,0.12640044656943389,4.0475081058191966,0.11440977699410515,0.82439742935234683
