#! daedalus 0.1.0
#! core_hash daedalus 0.1.0  core 60a4dce01a4e6fb8  (26 arquivos)
#! implementacao c
#! conteudo varredura_fase2
#! grade 7x7
#! n_traj 63000
#! blocos 16
#! estimador wardle_kronberg
# valor no n cheio; sd e o DESVIO DA MEDIA; vies e o residual estimado
# cov e corr sao entre C_inter e ef NO MESMO conjunto de execucoes
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0,0.4,0.006485895174662284,0.765533447265625,520,63000,16,0.099056854566364066,0.0030065255775501148,0.007838806461656786,6.0434129557290846e-14,5.6031003767031904e-14,-4.2072581611787294e-30,3.4078893123428071e-17,0.20229827284281485,1,3214.4
0,0.02,0.006485895174662284,0.765533447265625,520,63000,16,30.150652933172857,0.087519749585065434,-0.035603356091287473,1.5495008973973416e-06,5.8184080321359065e-08,-7.0586078937858358e-23,-4.7471284037712285e-10,-0.093222498508861537,1,3237.3
0,0.14736,0.006485895174662284,0.765533447265625,520,63000,16,0.87217084839214876,0.012974933819883752,-0.0089868807309076617,1.3357146405687358e-08,6.661853051387451e-10,0,1.875303847238494e-12,0.21695588975998317,1,3375.3
0.08333,0.02,0.13709162452970658,0.70404720306396484,520,63000,16,160.42790955892019,0.46668650587839444,-0.02415024150836113,0.0029327910621017119,1.1434118425866381e-05,1.4456028966473392e-19,-5.5536624398332188e-07,-0.10407622937436632,1,3403.1
0.08333,0.05429,0.13709162452970658,0.70404720306396484,520,63000,16,50.117864007121511,0.30121692463242572,-0.073996678194421392,0.0033987250303238029,3.0688277862152315e-05,-4.3368086899420177e-19,-3.3154040224730146e-06,-0.35866134447959608,1,3438.5
0.08333,0.14736,0.13709162452970658,0.70404720306396484,520,63000,16,6.2100417510137902,0.069855673252727041,-0.14785496840766874,0.0037524646304499228,3.9639668385563528e-05,0,-4.6399000372066206e-07,-0.16756253763176227,1,3552.8
0,1.08577,0.006485895174662284,0.765533447265625,520,63000,16,0.013777657204228999,0.00039478129307443389,-5.224891607047364e-05,6.4646839811244028e-28,6.0496668787056784e-28,-5.9788734477858858e-44,9.5566688507925753e-32,0.40014602878436001,1,3588.6
0,0.05429,0.006485895174662284,0.765533447265625,520,63000,16,10.000621909813907,0.059290089152776393,-0.049787833441612271,4.184336369768575e-07,4.978343946511367e-09,0,1.2636849954158008e-10,0.42812622095844716,1,3648.1
0,2.94723,0.006485895174662284,0.765533447265625,520,63000,16,0.00044330717768655388,2.976283433785129e-05,-2.0705678323870529e-05,4.365902999320961e-40,4.2731304183748172e-40,-5.4377537233321035e-56,4.8941837701661901e-45,0.3848219513962603,1,3652.8
0,8,0.006485895174662284,0.765533447265625,520,63000,16,4.6516385486103297e-06,3.2815571351065627e-07,-7.8937297268402931e-07,9.8490361430830772e-62,8.9036852020731719e-62,0,-3.1309652581979025e-69,-0.10715895795705263,1,4042.3
0.08333,0.4,0.13709162452970658,0.70404720306396484,520,63000,16,1.11514855923625,0.017171661676165555,-0.022950764469373459,0.0031631110940860997,5.7701327081231398e-05,1.4456028966473392e-19,-2.4116750169151428e-07,-0.24340004800725495,1,3462.8
0.16667,0.02,0.18786400580360466,0.65033149719238281,520,63000,16,170.51740230960644,0.51449698982316017,-0.0277532719702549,0.00073309136319734032,8.4104593404702037e-06,-3.6140072416183479e-20,-1.3842399546591783e-06,-0.31989601259486899,1,3285.4
0.08333,1.08577,0.13709162452970658,0.70404720306396484,520,63000,16,0.11682019296077145,0.0029609074806162239,-0.0018331084906230792,0.001079048776422296,5.5733780361575004e-05,-7.2280144832366958e-20,-4.8696119726848795e-08,-0.29508763894775064,1,3501.9
0.16667,0.14736,0.18786400580360466,0.65033149719238281,520,63000,16,5.1226825311824484,0.055770716502815648,-0.18505586264714147,0.00035590139125259341,1.6220843308110684e-05,1.807003620809174e-20,4.3248359000925232e-07,0.4780683364110514,1,3389.0
0.08333,2.94723,0.13709162452970658,0.70404720306396484,520,63000,16,0.0082337850274161479,0.00020870313238023847,-0.00026111480113841901,4.3200631506872036e-05,8.7104957018403467e-06,4.5175090520229349e-21,4.8836357926174221e-10,0.26864046462422703,1,3617.4
0.16667,0.05429,0.18786400580360466,0.65033149719238281,520,63000,16,51.268637225402991,0.32915776033042732,-0.095276958696468725,0.00060131568716693625,1.1026914257938462e-05,-3.6140072416183479e-20,-1.3059676305323187e-06,-0.35981090073119137,1,3473.9
0.16667,1.08577,0.18786400580360466,0.65033149719238281,520,63000,16,0.32254244228981921,0.0055161453861342661,-0.002272023381820365,7.7364058713190095e-06,3.5150531784893544e-06,0,-9.2262416771049181e-09,-0.47583591959855792,1,3416.2
0.08333,8,0.13709162452970658,0.70404720306396484,520,63000,16,0.00035328740837916727,1.9372855247956131e-05,-1.6632743643544136e-05,1.5342740126996888e-06,1.5105058892081944e-06,-2.1175823681357508e-22,-2.2930346762444873e-14,-0.00078360025028539882,1,3763.4
0.16667,0.4,0.18786400580360466,0.65033149719238281,520,63000,16,1.5859521075467626,0.03107935427218203,-0.02190991536688025,9.578581693198875e-05,8.7391361145595604e-06,4.5175090520229349e-21,1.1022036006996675e-07,0.40580868252683167,1,3603.2
