#! daedalus 0.1.0
#! core_hash 38a7c906e0794c1d
#! implementacao c
#! graph_fingerprint 18202184968892204173
#! n 256
#! nnz 512
#! nmod 1
#! scale 2
#! spectral_lo -1
#! spectral_hi 1
#! cheb_a 1
#! cheb_b 0
#! dt 0.66666666666666663
#! alpha 0.66666666666666663
#! cheb_k 13
#! lanczos_used 1
#! lambda2 0.00060236260759156056
#! lambda2_residual 1.7020327404581161e-15
#! lambda2_converged 1
#! modularity_Q 0
#! mean_degree 2
#! mean_path_len 64.250980392156862
#! n_edges 256
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":2,"core_hash":"38a7c906e0794c1d","seed":2026,"graph":{"generator":"cycle","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":1,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":256,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"mean_degree","lanczos_steps":40},"initial":{"site":0},"time":{"t1":8,"nt":12},"observables":{"target":128,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.66666666666666663,1,0.65265000095263959,1.697422647440789,0,1
1.3333333333333333,0.99999999999999956,0.29123941136801668,3.6161234915188736,0,0.99999999999999956
2,0.99999999999999933,0.25532553962283411,4.8843615153571864,0,0.99999999999999933
2.6666666666666665,0.99999999999999933,0.1857240268045903,6.3350818260930222,0,0.99999999999999933
3.333333333333333,0.99999999999999878,0.15834796846978227,7.9238118666382853,0,0.99999999999999878
4,0.99999999999999933,0.14167427376044237,8.5061659677346722,0,0.99999999999999933
4.6666666666666661,0.99999999999999856,0.11581575038656014,10.809653319654496,0,0.99999999999999856
5.333333333333333,0.99999999999999867,0.11370368327433075,10.902401911598902,0,0.99999999999999867
6,0.99999999999999867,0.09453061678724127,13.322057987028026,0,0.99999999999999867
6.6666666666666661,0.99999999999999867,0.092652197049411023,13.914344667548386,2.6769916073201619e-310,0.99999999999999867
7.333333333333333,0.99999999999999889,0.082631456662341674,15.2337943784493,1.5167975127239562e-292,0.99999999999999889
8,0.99999999999999889,0.076875325871551464,17.051216179311986,2.2938329504177086e-280,0.99999999999999889

# estado final
j,re,im
0,0.17165080713755379,0
1,0,0.23463634685391421
2,0.11299172042407561,0
3,0,0.29113220706595205
4,-0.10535743487538857,0
5,0,0.1857747721905634
6,-0.33757590011359301,0
7,0,-0.320589077979826
8,0.22345498635110275,0
9,0,0.12632089472237953
10,-0.060767026774251089,0
11,0,-0.025596672213248253
12,0.0096238218121816287,0
13,0,0.0032747932232966054
14,-0.0010192561635323273,0
15,0,-0.00029260334906656862
16,7.800639546731555e-05,0
17,0,1.9422232802668021e-05
18,-4.538093944000032e-06,0
19,0,-9.9918994533829305e-07
20,2.0805829638690661e-07,0
21,0,4.1101536630815979e-08
22,-7.7247709512367792e-09,0
23,0,-1.384703616629921e-09
24,2.3727485210657228e-10,0
25,0,3.894549929666817e-11
26,-6.134519733175664e-12,0
27,0,-9.2887938580452231e-13
28,1.3541624877118124e-13,0
29,0,1.9034391517693106e-14
30,-2.5830990689236465e-15,0
31,0,-3.3885375666328545e-16
32,4.301805565331104e-17,0
33,0,5.2907969955161303e-18
34,-6.3104128549240938e-19,0
35,0,-7.3058051095237711e-20
36,8.2174032801256505e-21,0
37,0,8.9870552736456473e-22
38,-9.5643632082784908e-23,0
39,0,-9.9122276630736657e-24
40,1.0010746768637941e-24,0
41,0,9.8589166931256269e-26
42,-9.4739751391265806e-27,0
43,0,-8.8886294162571063e-28
44,8.1467320147124834e-29,0
45,0,7.2981524637729196e-30
46,-6.39362472559685e-31,0
47,0,-5.4802409460852097e-32
48,4.5980582006593491e-33,0
49,0,3.7780401161194063e-34
50,-3.0413224906730849e-35,0
51,0,-2.3996103103389471e-36
52,1.8564031010840556e-37,0
53,0,1.4087080939812454e-38
54,-1.0489238346735615e-39,0
55,0,-7.6664045816201978e-41
56,5.5018510876003656e-42,0
57,0,3.8782327235677186e-43
58,-2.6859619672402904e-44,0
59,0,-1.8282452799435672e-45
60,1.2233766095361496e-46,0
61,0,8.0499751594638308e-48
62,-5.2101513209183035e-49,0
63,0,-3.3176894469683432e-50
64,2.0789997725315543e-51,0
65,0,1.2823479404393518e-52
66,-7.7872707754508823e-54,0
67,0,-4.6567595526072829e-55
68,2.7427658376898915e-56,0
69,0,1.5914149370403652e-57
70,-9.0980343397132419e-59,0
71,0,-5.1257470272998293e-60
72,2.8463261693564501e-61,0
73,0,1.5581132448020386e-62
