#! daedalus 0.1.0
#! core_hash 9cbcc100c8b73b07
#! implementacao c
#! graph_fingerprint 13961901211508184369
#! n 12
#! nnz 132
#! nmod 1
#! scale 11.000000000000002
#! spectral_lo -1
#! spectral_hi 0.11818181818327295
#! cheb_a 0.5590909090916365
#! cheb_b -0.4409090909083635
#! dt 0.40000000000000002
#! alpha 0.22363636363665462
#! cheb_k 10
#! lanczos_used 1
#! lambda2 12
#! lambda2_residual 2.1065000811460206e-15
#! lambda2_converged 1
#! modularity_Q 0
#! mean_degree 11
#! mean_path_len 1
#! n_edges 66
#! n_components 1
#! rewire_failed 30
#! spec {"format_version":1,"core_hash":"9cbcc100c8b73b07","seed":20260828,"graph":{"generator":"complete","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":3,"ws_p":0.40000000000000002,"conn_mode":"rewire","p_in":0,"p_out":0,"n":12,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"spectral","lanczos_steps":30},"initial":{"site":0},"time":{"t1":4,"nt":10},"observables":{"target":7,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.40000000000000002,1.0000000000000002,0.9715913617236247,0.93112748961356506,0.0013014646004729481,1.0000000000000002
0.80000000000000004,0.99999999999999967,0.89408707035305968,2.0526328966988547,0.0049619497465868629,0.99999999999999967
1.2000000000000002,0.99999999999999967,0.78749179136059533,3.2345617477771107,0.010295440613637446,0.99999999999999967
1.6000000000000001,1,0.67642891166549124,4.3379440482404323,0.016302382864925351,1
2,1.0000000000000002,0.58220599245011972,5.2389429113816615,0.021857010032062928,1.0000000000000002
2.4000000000000004,0.999999999999999,0.51846912206522799,5.8456811480712432,0.02591832442478308,0.999999999999999
2.8000000000000003,0.99999999999999878,0.49151237194009001,6.1037041158917447,0.027725191447539408,0.99999999999999878
3.2000000000000002,0.99999999999999967,0.50313591362562837,5.9922806039391174,0.026938984520957294,0.99999999999999967
3.6000000000000001,0.99999999999999978,0.55263213801204647,5.5201616319711908,0.02370704739467417,0.99999999999999978
4,0.99999999999999911,0.63586737376795666,4.7276440262443522,0.018635080322246929,0.99999999999999911

# estado final
j,re,im
0,0.80225520301404851,-0.38910243598848204
1,-0.13235443853433274,-0.033427278119949645
2,-0.13235443853433274,-0.033427278119949645
3,-0.13235443853433274,-0.033427278119949645
4,-0.13235443853433274,-0.033427278119949645
5,-0.13235443853433274,-0.033427278119949645
6,-0.13235443853433274,-0.033427278119949645
7,-0.13235443853433274,-0.033427278119949645
8,-0.13235443853433274,-0.033427278119949645
9,-0.13235443853433274,-0.033427278119949645
10,-0.13235443853433274,-0.033427278119949645
11,-0.13235443853433274,-0.033427278119949645
