#! daedalus 0.1.0
#! core_hash 76a843e583e9bff1
#! implementacao c
#! graph_fingerprint 5419345483917405537
#! n 240
#! nnz 896
#! nmod 1
#! scale 1
#! spectral_lo -4
#! spectral_hi 4
#! cheb_a 4
#! cheb_b 0
#! dt 0.5
#! alpha 2
#! cheb_k 18
#! lanczos_used 1
#! lambda2 0.024623318809726638
#! lambda2_residual 6.7702731668975661e-08
#! lambda2_converged 1
#! modularity_Q 0
#! mean_degree 3.7333333333333334
#! mean_path_len 10.666666666666666
#! n_edges 448
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":2,"core_hash":"76a843e583e9bff1","seed":2026,"graph":{"generator":"grid2d","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":1,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":64,"dim":6,"rows":12,"cols":20}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"none","lanczos_steps":40},"initial":{"site":0},"time":{"t1":6,"nt":12},"observables":{"target":239,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.5,0.99999999999999978,0.41574849393093072,3.7937017355519407,0,0.99999999999999978
1,1.0000000000000007,0.14541769874945348,10.689350415118147,2.1476722388596198e-50,1.0000000000000007
1.5,0.99999999999999944,0.11617358568080609,16.609653315477779,9.2041590374756058e-40,0.99999999999999944
2,1.0000000000000002,0.091956739313298674,20.639816047709477,1.9236204562282879e-32,1.0000000000000002
2.5,1,0.075776852267754907,27.223917617629642,7.3813384529895857e-27,1
3,1.0000000000000007,0.063808337329913742,37.49513052073015,2.1595118415817398e-22,1.0000000000000007
3.5,1.0000000000000002,0.054381117634391671,44.141491516829255,1.0246976212007392e-18,1.0000000000000002
4,0.99999999999999978,0.047139256511781129,54.545813432716727,1.2337007931322363e-15,0.99999999999999978
4.5,0.99999999999999989,0.041322124058580108,62.419958088583023,5.0117694691083205e-13,0.99999999999999989
5,1.0000000000000002,0.036626522673354117,62.609265840397427,8.3084629848611145e-11,1.0000000000000002
5.5,1.0000000000000002,0.033707932084255939,65.458429442254541,6.4001581295045615e-09,1.0000000000000002
6,1,0.037324837309812883,69.793389494174022,2.5015976392962115e-07,1

# estado final
j,re,im
0,0.0013869785779682903,0
1,0,0.0010543593955392137
2,0.0036337560361347707,0
3,0,0.0045312228151683214
4,0.0022802410475849617,0
5,0,0.0090770752703345902
6,-0.00739758368212118,0
7,0,0.0022393221177105954
8,-0.012870162195926654,0
9,0,-0.018651117682118287
10,0.018463517497104863,0
11,0,0.014545693845326578
12,-0.0096951489846884113,0
13,0,-0.0056520396991359854
14,0.0029433819401127963,0
15,0,0.0013895743516279444
16,-0.00060117182646706824,0
17,0,-0.00024072780043546914
18,8.8585804068792918e-05,0
19,0,3.434777883755619e-05
20,0,0.0010540468595264605
21,-0.00080126991673399955,0
22,0,0.0027615056202122588
23,-0.0034435435802760875,0
24,0,0.0017328897167908238
25,-0.0068982050872029316,0
26,0,-0.005621860331575303
27,-0.0017017930075739326,0
28,0,-0.0097807956515706257
29,0.014174084828544686,0
30,0,0.014031516378677396
31,-0.01105413101603903,0
32,0,-0.0073679157719380136
33,0.0042953184637649173,0
34,0,0.0022368496093917011
35,-0.0010560195410931235,0
36,0,-0.00045686594284078454
37,0.0001829432596006149,0
38,0,6.7321579482596078e-05
39,-2.6102903815917289e-05,0
40,0.0036326384722945174,0
41,0,0.0027614748812283558
42,0.0095171779762694454,0
43,0,0.011867735079970018
44,0.0059721840604753653,0
45,0,0.023773786680423084
46,-0.019375026775870784,0
47,0,0.0058650132063126081
48,-0.033708268519968825,0
49,0,-0.048849181032493902
50,0.048357836998552305,0
51,0,0.038096656940555446
52,-0.025392584828527746,0
53,0,-0.014803268907077
54,0.0077090177484748518,0
55,0,0.0036394370684746319
56,-0.0015745303784598576,0
57,0,-0.00063049068176224121
58,0.00023201526330052092,0
59,0,8.9960338843859491e-05
60,0,0.0045341460213633175
61,-0.0034467868028462867,0
62,0,0.01187904466266689
63,-0.014812936714137163,0
64,0,0.0074542938426652716
65,-0.029673698913861908,0
66,0,-0.024183304019827635
67,-0.0073205265256819823,0
68,0,-0.042073609240922148
69,0.060972023919967235,0
70,0,0.060358743624224116
71,-0.04755105877220786,0
72,0,-0.031694232264097233
73,0.018476978463479638,0
74,0,0.0096221554716915299
75,-0.0045426318170337923,0
76,0,-0.0019652797010928243
77,0.0007869588008886252,0
78,0,0.0002895942139612567
79,-0.00011228568864207846,0
80,0.0022903389770901005,0
81,0,0.0017410798247527615
82,0.0060004770188940224,0
83,0,0.0074824776621015684
84,0.0037653969797394006,0
85,0,0.014989113472887342
86,-0.012215743280093561,0
87,0,0.0036978269238780153
88,-0.021252696030810734,0
89,0,-0.030798876400982191
90,0.030489089341058703,0
91,0,0.024019527115967484
92,-0.016009748067527807,0
93,0,-0.0093332997557583168
94,0.0048604516962182202,0
95,0,0.0022946254179070447
96,-0.00099272424820221394,0
97,0,-0.00039751750529140904
98,0.00014628309557083614,0
99,0,5.6719013471250987e-05
100,0,0.0090454139915018827
101,-0.0068761820694108544,0
102,0,0.023698150939800034
103,-0.029551131432022155,0
104,0,0.014870975372984712
105,-0.059197672520999473,0
106,0,-0.04824458575242771
107,-0.01460411569203362,0
108,0,-0.083934926644993357
109,0.12163639981096774,0
110,0,0.12041293366283538
111,-0.094862188006801018,0
112,0,-0.063228544167038964
113,0.036860727185840422,0
114,0,0.019195760198714273
115,-0.009062342765856525,0
116,0,-0.0039206431424400039
117,0.0015699468245518378,0
118,0,0.00057772721533031791
119,-0.00022400481464496431,0
120,-0.0074867032761301803,0
121,0,-0.0056912745922619596
122,-0.019614472532259338,0
123,0,-0.024458864206030672
124,-0.012308400715409333,0
125,0,-0.048996697024440046
126,0.039931052193695207,0
127,0,-0.012087526441493411
128,0.069471213908527632,0
129,0,0.10067594847698574
130,-0.099663310688592396,0
131,0,-0.07851548358080962
132,0.052332966650840154,0
133,0,0.030508866398159286
134,-0.015887936240678503,0
135,0,-0.0075007148747746047
136,0.0032450357591835366,0
137,0,0.0012994127240350275
138,-0.0004781729437465629,0
139,0,-0.0001854041817485039
140,0,0.0024796615798292794
141,-0.0018849999026521447,0
142,0,0.0064964847881617827
143,-0.0081009896640788486,0
144,0,0.004076649926871477
145,-0.016228134422984666,0
146,0,-0.013225513595891455
147,-0.0040034944362900681,0
148,0,-0.023009473419670464
149,0.033344754325603992,0
150,0,0.033009359836795052
151,-0.026005014607402309,0
152,0,-0.017333136091597926
153,0.010104803284091754,0
154,0,0.0052622233880159752
155,-0.0024843023438009836,0
156,0,-0.0010747842141513055
157,0.00043037685471039751,0
158,0,0.00015837505954090176
159,-6.1407485947410841e-05,0
160,-0.01226827795385655,0
161,0,-0.0093261527850589891
162,-0.032141757469039904,0
163,0,-0.04008014388281185
164,-0.020169475879394303,0
165,0,-0.080289691703587074
166,0.065434040756511103,0
167,0,-0.019807534596920997
168,0.113840782863534,0
169,0,0.16497521988372793
170,-0.16331583505219641,0
171,0,-0.12866140686007396
172,0.085756755322387468,0
173,0,0.049994134831420872
174,-0.026035173390035315,0
175,0,-0.012291238418617558
176,0.00531756090705463,0
177,0,0.0021293159201415659
178,-0.00078357033363410638,0
179,0,-0.00030381730804673499
180,0,-0.020039622938509815
181,0.015233807546784849,0
182,0,-0.052501965042136604
183,0.065468925121661914,0
184,0,-0.032945837468849659
185,0.13114922515130192,0
186,0,0.1068832568870325
187,0.03235462435369818,0
188,0,0.18595326680651633
189,-0.26947883094125685,0
190,0,-0.26676830820458181
191,0.21016202028611375,0
192,0,0.14007940214221076
193,-0.081662937123441803,0
194,0,-0.042527163130586229
195,0.020077127717748937,0
196,0,0.0086859717338273294
197,-0.0034781318386407399,0
198,0,-0.0012799232370581885
199,0.00049627048868216748,0
200,0.015519316873046626,0
201,0,0.011797541661686735
202,0.040659179788296189,0
203,0,0.050701203182238537
204,0.025514296995300195,0
205,0,0.10156610176862647
206,-0.08277376960349371,0
207,0,0.025056442887880576
208,-0.1440080823877572,0
209,0,-0.20869291706675769
210,0.20659380265871058,0
211,0,0.16275610561674506
212,-0.10848191285347365,0
213,0,-0.063242357498000779
214,0.032934378174701892,0
215,0,0.015548361758524342
216,-0.0067266908215398028,0
217,0,-0.0026935751384008647
218,0.00099121297591432938,0
219,0,0.00038432753910751184
220,0,0.020196672571525881
221,-0.015353194218480224,0
222,0,0.052913420605337214
223,-0.065982002173853166,0
224,0,0.033204032530691228
225,-0.13217703579143003,0
226,0,-0.107720896213939
227,-0.032608186104670971,0
228,0,-0.18741057428179753
229,0.27159072454498334,0
230,0,0.26885895956226469
231,-0.21180905068489567,0
232,0,-0.14117719818193916
233,0.082302925926904011,0
234,0,0.042860446615179092
235,-0.020234471274050606,0
236,0,-0.008754043307697329
237,0.0035053898030503751,0
238,0,0.0012899539384983096
239,-0.00050015973841326046,0
