#! daedalus 0.1.0
#! core_hash 38a7c906e0794c1d
#! implementacao c
#! graph_fingerprint 14849442719752414025
#! n 256
#! nnz 2048
#! nmod 1
#! scale 8
#! spectral_lo -1
#! spectral_hi 1
#! cheb_a 1
#! cheb_b 0
#! dt 0.33333333333333331
#! alpha 0.33333333333333331
#! cheb_k 11
#! lanczos_used 1
#! lambda2 2.0000000000000009
#! lambda2_residual 3.7976928829169061e-15
#! lambda2_converged 1
#! modularity_Q 0
#! mean_degree 8
#! mean_path_len 4.0156862745098039
#! n_edges 1024
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":2,"core_hash":"38a7c906e0794c1d","seed":2026,"graph":{"generator":"hypercube","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":1,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":64,"dim":8,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"mean_degree","lanczos_steps":40},"initial":{"site":0},"time":{"t1":4,"nt":12},"observables":{"target":255,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.33333333333333331,0.99999999999999856,0.97262016267544449,0.89577860264592335,8.2150311353409899e-23,0.99999999999999856
0.66666666666666663,1.0000000000000049,0.89507249596779492,2.4141208820780036,5.3095254754884115e-18,1.0000000000000049
1,1.0000000000000016,0.77984537060376258,4.8621502484704244,3.4076514791692062e-15,1.0000000000000016
1.3333333333333333,1.0000000000000056,0.64396384638527793,8.6266925380260737,3.2913964211730218e-13,1.0000000000000056
1.6666666666666665,1.0000000000000047,0.50481410719026187,14.160191261208217,1.1215062901173011e-11,1.0000000000000047
2,0.99999999999999856,0.3765675154706648,21.948002660547914,1.9701819103666993e-10,0.99999999999999856
2.333333333333333,1.0000000000000016,0.26817288398042266,32.455437742809075,2.1846777079681056e-09,1.0000000000000016
2.6666666666666665,1.0000000000000051,0.18313421502657343,46.056771898765362,1.7254409282882404e-08,1.0000000000000051
3,0.99999999999999289,0.1206316513534061,62.953110277422731,1.0492272366111777e-07,0.99999999999999289
3.333333333333333,0.99999999999999833,0.077236697877799146,83.090532189603451,5.1806150464452979e-07,0.99999999999999833
3.6666666666666665,0.99999999999999967,0.048542108481967584,106.09316770679298,2.1572034890870116e-06,0.99999999999999967
4,1.0000000000000004,0.030315358405210081,131.22666433024804,7.7900211570189027e-06,1.0000000000000004

# estado final
j,re,im
0,0.35180651649709821,0
1,0,0.19219277590563558
2,0,0.19219277590563558
3,-0.10499539200723838,0
4,0,0.19219277590563558
5,-0.10499539200723838,0
6,-0.10499539200723838,0
7,0,-0.057359244075679147
8,0,0.19219277590563558
9,-0.10499539200723838,0
10,-0.10499539200723838,0
11,0,-0.057359244075679147
12,-0.10499539200723838,0
13,0,-0.057359244075679147
14,0,-0.057359244075679147
15,0.031335497854101217,0
16,0,0.19219277590563558
17,-0.10499539200723838,0
18,-0.10499539200723838,0
19,0,-0.057359244075679147
20,-0.10499539200723838,0
21,0,-0.057359244075679147
22,0,-0.057359244075679147
23,0.031335497854101217,0
24,-0.10499539200723838,0
25,0,-0.057359244075679147
26,0,-0.057359244075679147
27,0.031335497854101217,0
28,0,-0.057359244075679147
29,0.031335497854101217,0
30,0.031335497854101217,0
31,0,0.017118660498190236
32,0,0.19219277590563558
33,-0.10499539200723838,0
34,-0.10499539200723838,0
35,0,-0.057359244075679147
36,-0.10499539200723838,0
37,0,-0.057359244075679147
38,0,-0.057359244075679147
39,0.031335497854101217,0
40,-0.10499539200723838,0
41,0,-0.057359244075679147
42,0,-0.057359244075679147
43,0.031335497854101217,0
44,0,-0.057359244075679147
45,0.031335497854101217,0
46,0.031335497854101217,0
47,0,0.017118660498190236
48,-0.10499539200723838,0
49,0,-0.057359244075679147
50,0,-0.057359244075679147
51,0.031335497854101217,0
52,0,-0.057359244075679147
53,0.031335497854101217,0
54,0.031335497854101217,0
55,0,0.017118660498190236
56,0,-0.057359244075679147
57,0.031335497854101217,0
58,0.031335497854101217,0
59,0,0.017118660498190236
60,0.031335497854101217,0
61,0,0.017118660498190236
62,0,0.017118660498190236
63,-0.0093519668529518755,0
64,0,0.19219277590563558
65,-0.10499539200723838,0
66,-0.10499539200723838,0
67,0,-0.057359244075679147
68,-0.10499539200723838,0
69,0,-0.057359244075679147
70,0,-0.057359244075679147
71,0.031335497854101217,0
72,-0.10499539200723838,0
73,0,-0.057359244075679147
74,0,-0.057359244075679147
75,0.031335497854101217,0
76,0,-0.057359244075679147
77,0.031335497854101217,0
78,0.031335497854101217,0
79,0,0.017118660498190236
80,-0.10499539200723838,0
81,0,-0.057359244075679147
82,0,-0.057359244075679147
83,0.031335497854101217,0
84,0,-0.057359244075679147
85,0.031335497854101217,0
86,0.031335497854101217,0
87,0,0.017118660498190236
88,0,-0.057359244075679147
89,0.031335497854101217,0
90,0.031335497854101217,0
91,0,0.017118660498190236
92,0.031335497854101217,0
93,0,0.017118660498190236
94,0,0.017118660498190236
95,-0.0093519668529518755,0
96,-0.10499539200723838,0
97,0,-0.057359244075679147
98,0,-0.057359244075679147
99,0.031335497854101217,0
100,0,-0.057359244075679147
101,0.031335497854101217,0
102,0.031335497854101217,0
103,0,0.017118660498190236
104,0,-0.057359244075679147
105,0.031335497854101217,0
106,0.031335497854101217,0
107,0,0.017118660498190236
108,0.031335497854101217,0
109,0,0.017118660498190236
110,0,0.017118660498190236
111,-0.0093519668529518755,0
112,0,-0.057359244075679147
113,0.031335497854101217,0
114,0.031335497854101217,0
115,0,0.017118660498190236
116,0.031335497854101217,0
117,0,0.017118660498190236
118,0,0.017118660498190236
119,-0.0093519668529518755,0
120,0.031335497854101217,0
121,0,0.017118660498190236
122,0,0.017118660498190236
123,-0.0093519668529518755,0
124,0,0.017118660498190236
125,-0.0093519668529518755,0
126,-0.0093519668529518755,0
127,0,-0.0051090027767042127
128,0,0.19219277590563558
129,-0.10499539200723838,0
130,-0.10499539200723838,0
131,0,-0.057359244075679147
132,-0.10499539200723838,0
133,0,-0.057359244075679147
134,0,-0.057359244075679147
135,0.031335497854101217,0
136,-0.10499539200723838,0
137,0,-0.057359244075679147
138,0,-0.057359244075679147
139,0.031335497854101217,0
140,0,-0.057359244075679147
141,0.031335497854101217,0
142,0.031335497854101217,0
143,0,0.017118660498190236
144,-0.10499539200723838,0
145,0,-0.057359244075679147
146,0,-0.057359244075679147
147,0.031335497854101217,0
148,0,-0.057359244075679147
149,0.031335497854101217,0
150,0.031335497854101217,0
151,0,0.017118660498190236
152,0,-0.057359244075679147
153,0.031335497854101217,0
154,0.031335497854101217,0
155,0,0.017118660498190236
156,0.031335497854101217,0
157,0,0.017118660498190236
158,0,0.017118660498190236
159,-0.0093519668529518755,0
160,-0.10499539200723838,0
161,0,-0.057359244075679147
162,0,-0.057359244075679147
163,0.031335497854101217,0
164,0,-0.057359244075679147
165,0.031335497854101217,0
166,0.031335497854101217,0
167,0,0.017118660498190236
168,0,-0.057359244075679147
169,0.031335497854101217,0
170,0.031335497854101217,0
171,0,0.017118660498190236
172,0.031335497854101217,0
173,0,0.017118660498190236
174,0,0.017118660498190236
175,-0.0093519668529518755,0
176,0,-0.057359244075679147
177,0.031335497854101217,0
178,0.031335497854101217,0
179,0,0.017118660498190236
180,0.031335497854101217,0
181,0,0.017118660498190236
182,0,0.017118660498190236
183,-0.0093519668529518755,0
184,0.031335497854101217,0
185,0,0.017118660498190236
186,0,0.017118660498190236
187,-0.0093519668529518755,0
188,0,0.017118660498190236
189,-0.0093519668529518755,0
190,-0.0093519668529518755,0
191,0,-0.0051090027767042127
192,-0.10499539200723838,0
193,0,-0.057359244075679147
194,0,-0.057359244075679147
195,0.031335497854101217,0
196,0,-0.057359244075679147
197,0.031335497854101217,0
198,0.031335497854101217,0
199,0,0.017118660498190236
200,0,-0.057359244075679147
201,0.031335497854101217,0
202,0.031335497854101217,0
203,0,0.017118660498190236
204,0.031335497854101217,0
205,0,0.017118660498190236
206,0,0.017118660498190236
207,-0.0093519668529518755,0
208,0,-0.057359244075679147
209,0.031335497854101217,0
210,0.031335497854101217,0
211,0,0.017118660498190236
212,0.031335497854101217,0
213,0,0.017118660498190236
214,0,0.017118660498190236
215,-0.0093519668529518755,0
216,0.031335497854101217,0
217,0,0.017118660498190236
218,0,0.017118660498190236
219,-0.0093519668529518755,0
220,0,0.017118660498190236
221,-0.0093519668529518755,0
222,-0.0093519668529518755,0
223,0,-0.0051090027767042127
224,0,-0.057359244075679147
225,0.031335497854101217,0
226,0.031335497854101217,0
227,0,0.017118660498190236
228,0.031335497854101217,0
229,0,0.017118660498190236
230,0,0.017118660498190236
231,-0.0093519668529518755,0
232,0.031335497854101217,0
233,0,0.017118660498190236
234,0,0.017118660498190236
235,-0.0093519668529518755,0
236,0,0.017118660498190236
237,-0.0093519668529518755,0
238,-0.0093519668529518755,0
239,0,-0.0051090027767042127
240,0.031335497854101217,0
241,0,0.017118660498190236
242,0,0.017118660498190236
243,-0.0093519668529518755,0
