#! daedalus 0.1.0
#! core_hash 9cbcc100c8b73b07
#! implementacao c
#! graph_fingerprint 1223315417253694475
#! n 300
#! nnz 598
#! nmod 1
#! scale 1
#! spectral_lo -2
#! spectral_hi 2
#! cheb_a 2
#! cheb_b 0
#! dt 0.66666666666666663
#! alpha 1.3333333333333333
#! cheb_k 16
#! lanczos_used 1
#! lambda2 0.00010966126897573611
#! lambda2_residual 2.3188922144972472e-15
#! lambda2_converged 1
#! modularity_Q 0
#! mean_degree 1.9933333333333334
#! mean_path_len 100.33333333333333
#! n_edges 299
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":1,"core_hash":"9cbcc100c8b73b07","seed":2026,"graph":{"generator":"path","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":1,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":300,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"none","lanczos_steps":40},"initial":{"site":150},"time":{"t1":8,"nt":12},"observables":{"target":200,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0
0.66666666666666663,0.99999999999999989,0.29123941136801679,3.616123491518878,0,0.99999999999999989
1.3333333333333333,1.0000000000000002,0.18572402680459058,6.3350818260930266,0,1.0000000000000002
2,1.0000000000000002,0.14167427376044253,8.506165967734681,0,1.0000000000000002
2.6666666666666665,0.99999999999999944,0.11370368327433095,10.902401911598906,1.2381005326112443e-87,0.99999999999999944
3.333333333333333,0.99999999999999978,0.092652197049411245,13.914344667548422,1.1706310995220769e-77,0.99999999999999978
4,1,0.076875325871551672,17.051216179311986,9.026674059352565e-70,1
4.6666666666666661,1,0.066073164944562349,19.921003281352082,3.6307084357190339e-63,1
5.333333333333333,1,0.059337766232011396,22.18469590309418,1.7628009236523637e-57,1
6,1.0000000000000002,0.055011632032488725,23.576119393942797,1.7041714517710627e-52,1.0000000000000002
6.6666666666666661,0.99999999999999978,0.051408762099960391,23.930249313759699,4.5842854579161921e-48,0.99999999999999978
7.333333333333333,1.0000000000000002,0.047573256250472463,26.785335574675166,4.3505654841564614e-44,1.0000000000000002
8,1,0.043512603283525339,29.807476988282584,1.7348670082206921e-40,1

# estado final
j,re,im
0,-4.3689613683227332e-129,0
1,0,9.1284702560679993e-128
2,1.8882602862186777e-126,0
3,0,-3.8592105871027791e-125
4,-7.7945686843555008e-124,0
5,0,1.5560352388919338e-122
6,3.0708047597643935e-121,0
7,0,-5.9918013870567465e-120
8,-1.1561058445592789e-118,0
9,0,2.2061302538584284e-117
10,4.1640172069381148e-116,0
11,0,-7.7748571005367009e-115
12,-1.4362103409582576e-113,0
13,0,2.6250239535856064e-112
14,4.7476506353162089e-111,0
15,0,-8.4975189229015098e-110
16,-1.5052484372438816e-108,0
17,0,2.6391183988447777e-107
18,4.5800850980789566e-106,0
19,0,-7.8682653880885079e-105
20,-1.3381339315400644e-103,0
21,0,2.2529797823010999e-102
22,3.7555353685982438e-101,0
23,0,-6.1981316260362309e-100
24,-1.0128368804184141e-98,0
25,0,1.6387825248798927e-97
26,2.6255335406050105e-96,0
27,0,-4.1652168374369497e-95
28,-6.5431807929154994e-94,0
29,0,1.0178343067408734e-92
30,1.5678549628418269e-91,0
31,0,-2.3915381280987978e-90
32,-3.6123647116219091e-89,0
33,0,5.4031526668784425e-88
34,8.0027833605932401e-87,0
35,0,-1.1737299537885173e-85
36,-1.7045984802481968e-84,0
37,0,2.4512896103735955e-83
38,3.4904063097854546e-82,0
39,0,-4.921016068114808e-81
40,-6.8693876349248794e-80,0
41,0,9.4940414422580337e-79
42,1.2990860295455589e-77,0
43,0,-1.7597891890021325e-76
44,-2.3599347779648584e-75,0
45,0,3.1328173999297843e-74
46,4.1166450397161448e-73,0
47,0,-5.3542786885867808e-72
48,-6.8925846860233871e-71,0
49,0,8.7813164483546917e-70
50,1.1071455641676977e-68,0
51,0,-1.3812967893043876e-67
52,-1.7051965928264304e-66,0
53,0,2.0827323452969332e-65
54,2.5166844400193722e-64,0
55,0,-3.0083160676434602e-63
56,-3.5569601559002304e-62,0
57,0,4.159634190693652e-61
58,4.8107185499068314e-60,0
59,0,-5.5017364792351997e-59
60,-6.2212730583681837e-58,0
61,0,6.9550657901842011e-57
62,7.6862904853830251e-56,0
63,0,-8.396053067180314e-55
64,-9.0640814876798281e-54,0
65,0,9.6695933901492879e-53
66,1.0192296220787372e-51,0
67,0,-1.0613459276244443e-50
68,-1.0916983858343414e-49,0
69,0,1.1090390300311054e-48
70,1.112564064780783e-47,0
71,0,-1.101972398292579e-46
72,-1.077494757880606e-45,0
73,0,1.039890005278585e-44
74,9.904080285931017e-44,0
75,0,-9.3072152129372807e-43
76,-8.6283174041163995e-42,0
77,0,7.8895564653385757e-41
78,7.1140339810818461e-40,0
79,0,-6.3245582194156934e-39
80,-5.5425114589569488e-38,0
81,0,4.7868901868860698e-37
82,4.0735783067604013e-36,0
83,0,-3.4148885223599872e-35
84,-2.8193803550425877e-34,0
85,0,2.2919379653625424e-33
86,1.8340698358485099e-32,0
87,0,-1.4443774219711278e-31
88,-1.1191321118874271e-30,0
89,0,8.5289925315485054e-30
90,6.3915369981089881e-29,0
91,0,-4.7084172931804745e-28
92,-3.4085733838472088e-27,0
93,0,2.4241487373307094e-26
94,1.6931295500999552e-25,0
95,0,-1.160954102112e-24
96,-7.812271643702673e-24,0
97,0,5.1572004867595058e-23
98,3.3385286789413977e-22,0
99,0,-2.1184744916347987e-21
100,-1.3171435032754374e-20,0
101,0,8.0203051941589352e-20
102,4.7807250367598226e-19,0
103,0,-2.7882329838881296e-18
104,-1.5902800315271427e-17,0
105,0,8.8652884331231945e-17
106,4.8276973129204698e-16,0
107,0,-2.5665808407573694e-15
108,-1.3312602977568895e-14,0
109,0,6.7324587033017134e-14
110,3.3172591251472285e-13,0
111,0,-1.5913049960260753e-12
112,-7.4258860003765389e-12,0
113,0,3.3681653656958247e-11
114,1.4835176253844989e-10,0
115,0,-6.3390127863785177e-10
116,-2.6249663333834316e-09,0
117,0,1.0522205641982883e-08
118,4.0779131946577083e-08,0
119,0,-1.5259432215535913e-07
120,-5.5052386642118992e-07,0
121,0,1.9118701769430785e-06
122,6.3800055250152707e-06,0
123,0,-2.0418149160620416e-05
124,-6.2531247892075805e-05,0
125,0,0.00018280840648861199
126,0.00050874502238482263,0
127,0,-0.0013434266606658541
128,-0.003353606627029521,0
129,0,0.007878991563665335
130,0.017328746227591996,0
131,0,-0.035442874005314623
132,-0.066848079535030275,0
133,0,0.11496530494850349
134,0.17745319348053962,0
135,0,-0.2399410820125758
136,-0.27243633529304001,0
137,0,0.23682250475024438
138,0.11240023492610703,0
139,0,0.068222152361083699
140,0.20620569442259706,0
141,0,-0.18953496566716252
142,-0.0070211419529607284,0
143,0,-0.18251382371420174
144,-0.16672073770288745,0
145,0,-0.057473270437036185
146,-0.20264153172603513,0
147,0,0.04384749542598132
148,-0.18619872094129222,0
149,0,0.090397175661304632
150,-0.17489907398362933,0
151,0,0.090397175661304632
152,-0.18619872094129222,0
153,0,0.04384749542598132
154,-0.20264153172603513,0
155,0,-0.057473270437036185
156,-0.16672073770288745,0
157,0,-0.18251382371420174
158,-0.0070211419529607284,0
159,0,-0.18953496566716252
160,0.20620569442259706,0
161,0,0.068222152361083699
162,0.11240023492610703,0
163,0,0.23682250475024438
164,-0.27243633529304001,0
165,0,-0.2399410820125758
166,0.17745319348053962,0
167,0,0.11496530494850349
168,-0.066848079535030275,0
169,0,-0.035442874005314623
170,0.017328746227591996,0
171,0,0.007878991563665335
172,-0.003353606627029521,0
173,0,-0.0013434266606658541
174,0.00050874502238482263,0
175,0,0.00018280840648861199
176,-6.2531247892075805e-05,0
177,0,-2.0418149160620416e-05
178,6.3800055250152707e-06,0
179,0,1.9118701769430785e-06
180,-5.5052386642118992e-07,0
181,0,-1.5259432215535913e-07
182,4.0779131946577083e-08,0
183,0,1.0522205641982883e-08
184,-2.6249663333834316e-09,0
185,0,-6.3390127863785177e-10
186,1.4835176253844989e-10,0
187,0,3.3681653656958247e-11
188,-7.4258860003765389e-12,0
189,0,-1.5913049960260753e-12
190,3.3172591251472285e-13,0
191,0,6.7324587033017134e-14
192,-1.3312602977568895e-14,0
193,0,-2.5665808407573694e-15
194,4.8276973129204698e-16,0
195,0,8.8652884331231945e-17
196,-1.5902800315271427e-17,0
197,0,-2.7882329838881296e-18
198,4.7807250367598226e-19,0
199,0,8.0203051941589352e-20
200,-1.3171435032754374e-20,0
201,0,-2.1184744916347987e-21
202,3.3385286789413977e-22,0
203,0,5.1572004867595058e-23
204,-7.812271643702673e-24,0
205,0,-1.160954102112e-24
206,1.6931295500999552e-25,0
207,0,2.4241487373307094e-26
208,-3.4085733838472088e-27,0
209,0,-4.7084172931804745e-28
210,6.3915369981089881e-29,0
211,0,8.5289925315485054e-30
212,-1.1191321118874271e-30,0
213,0,-1.4443774219711278e-31
214,1.8340698358485099e-32,0
215,0,2.2919379653625424e-33
216,-2.8193803550425877e-34,0
217,0,-3.4148885223599872e-35
218,4.0735783067604013e-36,0
219,0,4.7868901868860698e-37
220,-5.5425114589569488e-38,0
221,0,-6.3245582194156934e-39
222,7.1140339810818461e-40,0
223,0,7.8895564653385757e-41
224,-8.6283174041163995e-42,0
225,0,-9.3072152129372807e-43
226,9.904080285931017e-44,0
227,0,1.039890005278585e-44
228,-1.077494757880606e-45,0
229,0,-1.101972398292579e-46
230,1.112564064780783e-47,0
231,0,1.1090390300311054e-48
232,-1.0916983858343414e-49,0
233,0,-1.0613459276244443e-50
234,1.0192296220787372e-51,0
235,0,9.6695933901492879e-53
236,-9.0640814876798281e-54,0
237,0,-8.396053067180314e-55
238,7.6862904853830251e-56,0
239,0,6.9550657901842011e-57
240,-6.2212730583681837e-58,0
241,0,-5.5017364792351997e-59
242,4.8107185499068314e-60,0
243,0,4.159634190693652e-61
244,-3.5569601559002304e-62,0
245,0,-3.0083160676434602e-63
246,2.5166844400193722e-64,0
247,0,2.0827323452969332e-65
248,-1.7051965928264304e-66,0
249,0,-1.3812967893043876e-67
250,1.1071455641676977e-68,0
251,0,8.7813164483546917e-70
252,-6.8925846860233871e-71,0
253,0,-5.3542786885867808e-72
254,4.1166450397161448e-73,0
255,0,3.1328173999297843e-74
256,-2.3599347779648584e-75,0
257,0,-1.7597891890021325e-76
258,1.2990860295455589e-77,0
259,0,9.4940414422580337e-79
260,-6.8693876349248794e-80,0
261,0,-4.921016068114808e-81
262,3.4904063097854546e-82,0
263,0,2.4512896103735955e-83
264,-1.7045984802481968e-84,0
265,0,-1.1737299537885173e-85
266,8.0027833605932401e-87,0
267,0,5.4031526668784425e-88
268,-3.6123647116219091e-89,0
269,0,-2.3915381280987978e-90
270,1.5678549628418269e-91,0
271,0,1.0178343067408734e-92
272,-6.5431807929154994e-94,0
273,0,-4.1652168374369497e-95
274,2.6255335406050105e-96,0
275,0,1.6387825248798927e-97
276,-1.0128368804184141e-98,0
277,0,-6.1981316260362309e-100
278,3.7555353685982438e-101,0
279,0,2.2529797823010999e-102
280,-1.3381339315400644e-103,0
281,0,-7.8682653880885079e-105
282,4.5800850980789566e-106,0
283,0,2.6391183988447777e-107
284,-1.5052484372438816e-108,0
285,0,-8.4975189229015098e-110
286,4.7476506353162089e-111,0
287,0,2.6250239535856064e-112
288,-1.4362103409582576e-113,0
289,0,-7.7748571005367009e-115
290,4.1640172069381148e-116,0
291,0,2.2061302538584284e-117
292,-1.1561058445592789e-118,0
293,0,-5.9918013870567465e-120
294,3.0708047597643935e-121,0
295,0,1.5560352388920232e-122
296,-7.7945686841553904e-124,0
297,0,-3.8592106312120151e-125
298,1.8882506909156278e-126,0
299,0,9.1490752400709286e-128
