#! daedalus 0.1.0
#! core_hash 9cbcc100c8b73b07
#! implementacao c
#! graph_fingerprint 9234360424431944707
#! n 260
#! nnz 1008
#! nmod 2
#! scale 5.7990895069276878
#! spectral_lo -0.68976345255949822
#! spectral_hi 0.68976345255949822
#! cheb_a 0.68976345255949822
#! cheb_b 0
#! dt 0.33333333333333331
#! alpha 0.22992115085316606
#! cheb_k 10
#! lanczos_used 1
#! lambda2 0.025670575074611263
#! lambda2_residual 2.179510304493853e-08
#! lambda2_converged 1
#! modularity_Q 0.46825396825396826
#! mean_degree 3.8769230769230769
#! mean_path_len 9.8877338877338872
#! n_edges 504
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":1,"core_hash":"9cbcc100c8b73b07","seed":2026,"graph":{"generator":"microtubule","params":{"n_par":20,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":2,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":64,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"spectral","lanczos_steps":40},"initial":{"site":0},"time":{"t1":4,"nt":12},"observables":{"target":100,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0,pmod1
0.33333333333333331,1.0000000000000002,0.98688901369882709,0.25036699798693962,0,1.0000000000000002,1.1743809099294197e-38
0.66666666666666663,1.0000000000000004,0.94878819613182019,0.54400705002417027,6.2494456919787327e-44,1.0000000000000004,1.2230819756160166e-32
1,1.0000000000000004,0.88919715169604874,0.88419307430601224,5.8839670984862993e-39,1.0000000000000004,4.02043167864292e-29
1.3333333333333333,1,0.81333626095688594,1.2736941588955473,1.8248123181693986e-35,1,1.2478345074295762e-26
1.6666666666666665,1.0000000000000004,0.72736930318387794,1.7146489236371321,9.2051990467284675e-33,1.0000000000000004,1.0608404039152813e-24
2,1.0000000000000007,0.63755747365224535,2.2084485821781139,1.4719626580774759e-30,1.0000000000000007,3.9706801203931048e-23
2.333333333333333,1.0000000000000011,0.54950728578822483,2.7556343101322258,1.0634291583756144e-28,1.0000000000000011,8.430046728126324e-22
2.6666666666666665,1.0000000000000013,0.4676358300030185,3.3558130612186199,4.2881437679467667e-27,1.0000000000000013,1.1811570557728996e-20
3,1.0000000000000009,0.39491279827493669,4.0075953387669436,1.1060310499131225e-25,1.0000000000000009,1.2044918155152062e-19
3.333333333333333,1.0000000000000004,0.33286980258411736,4.7085576635583486,2.0025944326046409e-24,1.0000000000000004,9.5593916847895897e-19
3.6666666666666665,1.0000000000000009,0.28181295512488069,5.4552316228806932,2.7197643834400669e-23,1.0000000000000009,6.1949628924169048e-18
4,1.0000000000000004,0.24114663051848059,6.243120483006626,2.9094434725996389e-22,1.0000000000000004,3.3971063865781306e-17

# estado final
j,re,im
0,0.60878517529363041,0
1,0,0.4577523238926865
2,-0.16455629079574749,0
3,0,-0.038772346412896022
4,0.0067949436781097926,0
5,0,0.00094821436044708197
6,-0.00010995311532865774,0
7,0,-1.0827542993328884e-05
8,1.9709909832755274e-06,0
9,0,-1.1744696274169873e-05
10,-0.00011855995805069947,0
11,0,0.0010102738978021895
12,0.0070469538255373597,0
13,0,0.45773992531736907
14,-0.34418596694894632,0
15,0,-0.12373128824698747
16,0.029153324083397394,0
17,0,0.00510919271267311
18,-0.00071297320298394063,0
19,0,-8.2673773950360749e-05
20,8.1609932049716508e-06,0
21,0,1.2006035913034548e-06
22,5.2175643943866503e-06,0
23,0,-4.8182732759055385e-05
24,-0.00035774403965604961,0
25,0,0.0019832679212830194
26,-0.16467585930071477,0
27,0,-0.12375574859811476
28,0.044483188332756655,0
29,0,0.010480604776190495
30,-0.0018367219132696512,0
31,0,-0.00025630739795693536
32,2.9720089434611714e-05,0
33,0,2.9378784105402398e-06
34,-3.7624697772109407e-07,0
35,0,1.2162766071058603e-06
36,1.0574319565533223e-05,0
37,0,-7.1636166290612007e-05
38,-0.00034593128905666224,0
39,0,-0.037774131392512116
40,0.029038007264930887,0
41,0,0.010468959362740768
42,-0.0024683704332902467,0
43,0,-0.00043268391456051966
44,6.0385019207765239e-05,0
45,0,7.0021883677966636e-06
46,-6.9281411895377035e-07,0
47,0,-8.0664888427823297e-08
48,-1.9683930665205626e-07,0
49,0,1.6404463985999335e-06
50,1.0403988574360498e-05,0
51,0,-4.5768783566201452e-05
52,0.0064382531356363456,0
53,0,0.0050613493568990135
54,-0.001831479537637074,0
55,0,-0.0004322749373393489
56,7.5802800030564356e-05,0
57,0,1.0580700273725712e-05
58,-1.2270184255269522e-06,0
59,0,-1.2148321219161725e-07
60,1.3222124600327209e-08,0
61,0,-2.4685981663147551e-08
62,-1.9973261590891173e-07,0
63,0,1.205024131354344e-06
64,4.9548025200764229e-06,0
65,0,0.00087665983229744289
66,-0.00070242962960521331,0
67,0,-0.00025507489654485901
68,6.0270079048303734e-05,0
69,0,1.0573401942533859e-05
70,-1.4761468861679056e-06,0
71,0,-1.7120172721780652e-07
72,1.695834464284367e-08,0
73,0,1.757758076683554e-09
74,2.5429009225525834e-09,0
75,0,-2.0169656264536788e-08
76,-1.1700532838891319e-07,0
77,0,4.5702049328376497e-07
78,-9.9549291199818902e-05,0
79,0,-8.103300100478654e-05
80,2.9518163993218681e-05,0
81,0,6.9819709883749819e-06
82,-1.2254086943766105e-06,0
83,0,-1.7111442929451997e-07
84,1.9847778233103092e-08,0
85,0,1.9667529467354128e-09
86,-1.966315876731635e-10,0
87,0,2.2300379552565829e-10
88,1.747873929881203e-09,0
89,0,-9.823206362090105e-09
90,-3.684952460067486e-08,0
91,0,-9.7017632294268169e-06
92,8.0011492358784159e-06,0
93,0,2.9225770507751852e-06
94,-6.9194470185522211e-07,0
95,0,-1.2149441243540927e-07
96,1.6968848579356231e-08,0
97,0,1.9684568336416475e-09
98,-1.9511624662992289e-10,0
99,0,-1.8984797189871453e-11
100,-1.7057090820534547e-11,0
101,0,1.3302597157426167e-10
102,7.283043549116561e-10,0
103,0,-2.6442649748734125e-09
104,8.2839162641694084e-07,0
105,0,6.9068733755209346e-07
106,-2.528841274424058e-07,0
107,0,-5.9924188290485246e-08
108,1.0525841648595926e-08,0
109,0,1.4704147488594856e-09
110,-1.705930013600613e-10,0
111,0,-1.6913542347140082e-11
112,1.6118697582485024e-12,0
113,0,-1.1578486204374088e-12
114,-9.0420310112364164e-12,0
115,0,4.8426595990553152e-11
116,1.7114516380250448e-10,0
117,0,6.2947766097325132e-08
118,-5.2970118520863682e-08,0
119,0,-1.9433914098194398e-08
120,4.608676246342474e-09,0
121,0,8.0981726897722502e-10
122,-1.1314936179772394e-10,0
123,0,-1.3128640354501497e-11
124,1.30191069840324e-12,0
125,0,1.2208920142166882e-13
126,7.0665885189127691e-14,0
127,0,-5.5595240869786598e-13
128,-2.9220953823958033e-12,0
129,0,1.009577237103313e-11
130,-4.3093612807859328e-09,0
131,0,-3.6549343976212247e-09
132,1.3433293791709639e-09,0
133,0,3.1878479345732322e-10
134,-5.6033932444208113e-11,0
135,0,-7.8305592011028968e-12
136,9.086665370846147e-13,0
137,0,9.0124000155151129e-14
138,-8.3450571684726743e-15,0
139,0,3.916994304641939e-15
140,3.1232886183976406e-14,0
141,0,-1.6151366492002051e-13
142,-5.4736317213475866e-13,0
143,0,-2.6843196659390579e-10
144,2.2921523644937923e-10,0
145,0,8.4376798330058632e-11
146,-2.0035733999928561e-11,0
147,0,-3.5228060016219139e-12
148,4.9238120730185896e-13,0
149,0,5.7141927307045664e-14
150,-5.6683234791959621e-15,0
151,0,-5.1958475558866308e-16
152,-1.9876224552377062e-16,0
153,0,1.6162870374089463e-15
154,8.2402222284456009e-15,0
155,0,-2.7465069115118304e-14
156,1.533882610420453e-11,0
157,0,1.3175255680766769e-11
158,-4.8566174822977385e-12,0
159,0,-1.1538655525153091e-12
160,2.0293501437695807e-13,0
161,0,2.8368439221477451e-14
162,-3.292516523467539e-15,0
163,0,-3.2665024651481947e-16
164,2.969957974722015e-17,0
165,0,-9.2920246132011292e-18
166,-7.7566790401875384e-17,0
167,0,3.9051445105095895e-16
168,1.2828768070811425e-15,0
169,0,8.0959014642154677e-13
170,-6.9899423815403688e-13,0
171,0,-2.5797357777199573e-13
172,6.1321278506887492e-14,0
173,0,1.0787498433400299e-14
174,-1.5082032485508881e-15,0
175,0,-1.7506082050471457e-16
176,1.7369699929796434e-17,0
177,0,1.5688539808529177e-18
178,4.0224307811197759e-19,0
179,0,-3.4716996562513304e-18
180,-1.7283608323582823e-17,0
181,0,5.6059565916316333e-17
182,-3.9700035065129212e-14,0
183,0,-3.4433269707868237e-14
184,1.2721803636473674e-14,0
185,0,3.0253669478078875e-15
186,-5.3233608058658169e-16,0
187,0,-7.4435654509122021e-17
188,8.6406059391044928e-18,0
189,0,8.5741309198905453e-19
190,-7.7022216010235174e-20,0
191,0,1.61886993864679e-20
192,1.4561900367542914e-19,0
193,0,-7.1768111294556308e-19
194,-2.3016819788357157e-18,0
195,0,-1.8178466820987064e-15
196,1.5830830462493886e-15,0
197,0,5.8545501782675177e-16
198,-1.3928288467934576e-16,0
199,0,-2.4512941085923918e-17
200,3.4280108200472938e-18,0
201,0,3.9795787057601366e-19
202,-3.9493050571859235e-20,0
203,0,-3.5317230191899852e-21
204,-6.0758618211350141e-22,0
205,0,5.7480573855761272e-21
206,2.8071553405172355e-20,0
207,0,-8.9126647068394848e-20
208,7.8067629597642913e-17,0
209,0,6.8232393808372812e-17
210,-2.5255591615911188e-17,0
211,0,-6.0106355772423037e-18
212,1.0580356400716833e-18,0
213,0,1.4797717125161189e-19
214,-1.7179838627167289e-20,0
215,0,-1.7050460747413692e-21
216,1.5190223238681278e-22,0
217,0,-2.1310689568676572e-23
218,-2.1430972215135642e-22,0
219,0,1.0379369672084395e-21
220,3.266066019911964e-21,0
221,0,3.1565208511288819e-18
222,-2.7678529471983891e-18,0
223,0,-1.0252991179337689e-18
224,2.4409440437507292e-19,0
225,0,4.2974727674442365e-20
226,-6.0110663594129535e-21,0
227,0,-6.9791594143628936e-22
228,6.9270749818687372e-23,0
229,0,6.1517470852385236e-24
230,6.9914277777167444e-25,0
231,0,-7.566297638761469e-24
232,-3.6222427426900433e-23,0
233,0,1.0842023418740046e-22
234,-1.2057451934209215e-19,0
235,0,-1.0603972516582255e-19
236,3.9308381398054864e-20,0
237,0,9.3610425657694616e-21
238,-1.6483475201451741e-21,0
239,0,-2.3058321193997678e-22
240,2.6773450920998196e-23,0
241,0,2.6575256956554053e-24
242,-2.353724125226223e-25,0
243,0,2.1444116198570202e-26
244,2.5359688873081987e-25,0
245,0,-1.1977356061439921e-24
246,-3.4293734419029235e-24,0
247,0,-4.3695724752642162e-21
248,3.853055626712508e-21,0
249,0,1.4292344386442425e-21
250,-3.4045789344743046e-22,0
251,0,-5.9958634557556365e-23
252,8.388184438208831e-24,0
253,0,9.7401936953263646e-25
254,-9.6686076990503062e-26,0
255,0,-8.5435784572548964e-27
256,-6.1391908801784294e-28,0
257,0,8.0959327079031203e-27
258,3.7681724248818589e-26,0
259,0,-1.0368737746585065e-25
