#! daedalus 0.1.0
#! core_hash 76a843e583e9bff1
#! implementacao c
#! graph_fingerprint 1313649251375890557
#! n 260
#! nnz 1040
#! nmod 4
#! scale 3.4000000000000288
#! spectral_lo -0.99999999999999156
#! spectral_hi 0.99999999999999156
#! cheb_a 0.99999999999999156
#! cheb_b 0
#! dt 0.5
#! alpha 0.49999999999999578
#! cheb_k 12
#! lanczos_used 1
#! lambda2 0.10156455784160537
#! lambda2_residual 1.5184896804484553e-08
#! lambda2_converged 1
#! modularity_Q 0.61334841628959225
#! mean_degree 4
#! mean_path_len 8.1389961389961396
#! n_edges 520
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":2,"core_hash":"76a843e583e9bff1","seed":2026,"graph":{"generator":"microtubule","params":{"n_par":20,"n_perp":13,"seam_shift":3,"longitudinal_closed":true,"j_par":1,"j_perp":0.69999999999999996,"n_modules":4,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":64,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"mean_degree","lanczos_steps":40},"initial":{"site":0},"time":{"t1":6,"nt":12},"observables":{"target":259,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0,pmod1,pmod2,pmod3
0.5,1.0000000000000007,0.87961432868145284,1.4244578583154142,1.2083959600933525e-06,0.96843238534681797,3.2291494237589862e-13,2.9259053701398644e-09,0.031567611726953826
1,1.0000000000000004,0.60440139155244177,3.8818558112481272,7.1721874025267878e-05,0.88119923607455319,3.1416078993928632e-10,7.1088421385950366e-07,0.11880005272707213
1.5,1.0000000000000009,0.33985237115900102,7.5245379293488259,0.00071984320818270747,0.75797578552947775,1.6653753119747819e-08,1.6697193250694425e-05,0.24200750062351861
2,0.99999999999999811,0.17892655804513816,12.256870976257613,0.0033811401729600043,0.62379776663472308,2.6356123477069896e-07,0.00014757543762785919,0.3760543943664138
2.5,0.99999999999999989,0.10890357909032912,17.69079368229135,0.010208149326170595,0.50136267650692967,2.1274562293145583e-06,0.00075130202398349891,0.49788389401285738
3,1.0000000000000007,0.082212704905361228,23.196076470450382,0.02277215182849875,0.40574078557123144,1.115482709630333e-05,0.0026628994585867843,0.59158516014308593
3.5,0.99999999999999978,0.069142444635703737,28.038157059655461,0.040332924819154063,0.34302647545841836,4.3390282350721643e-05,0.0072697159619513861,0.64966041829727961
4,1.0000000000000002,0.058682264271892673,31.559217197741361,0.059027257047551615,0.31221399457918747,0.00013610867982865479,0.016237479678518133,0.67141241706246602
4.5,1.0000000000000004,0.048715531596060763,40.296694781914361,0.072964992038669546,0.30822879237007128,0.00036461025450554611,0.030857554057239663,0.66054904331818376
5,1.0000000000000007,0.041362656143258035,48.319850532206942,0.076943180283980131,0.32423131853158205,0.00086878812996303166,0.05126915764566433,0.62363073569279115
5.5,1.0000000000000009,0.037115208802635712,52.78319767378364,0.069226343404603458,0.35258137300055697,0.001893423654462482,0.075994662143379937,0.5695305412016014
6,1.0000000000000011,0.033151740514015572,56.056845996105693,0.052598796048523182,0.38511343678095117,0.0038383997296379483,0.10214155364727205,0.50890660984213987

# estado final
j,re,im
0,0.012924150617246407,0
1,0,-0.193616357543231
2,0.16966110488092773,0
3,0,0.081073976172119255
4,-0.02722468875841574,0
5,0,-0.0071471969217078764
6,0.0012387413530468622,0
7,0,0.0018204724824342087
8,0.0071789425729733578,0
9,0,-0.027695146083228501
10,-0.082436616262160409,0
11,0,0.1725160784858078
12,0.19687421930298563,0
13,0,-0.0042086242519256932
14,-0.063049280614161624,0
15,0,-0.055248568633763741
16,0.026400287395920281,0
17,0,0.0088707750644949727
18,-0.0022893270416117239,0
19,0,-0.00064473191606071161
20,-0.00073673009461212402,0
21,0,0.0038787100589743333
22,0.014813669360994918,0
23,0,-0.044110190702259335
24,-0.092308469921273617,0
25,0,0.10534191425776486
26,0.01530903516017609,0
27,0,-0.22934427506057437
28,0.20096870714949944,0
29,0,0.096033434719320507
30,-0.032257082842849671,0
31,0,-0.0084042295684681936
32,0.0018591518940536773,0
33,0,-2.1091405450645624e-06
34,-0.0015887081040605079,0
35,0,0.0058858687967578999
36,0.017546060276104863,0
37,0,-0.036716499473353981
38,-0.041900779360696472,0
39,0,0.013141615754958083
40,0.19687422774840857,0
41,0,0.17251599794590466
42,-0.08243732512983501,0
43,0,-0.027689488180189334
44,0.0072194555710040657,0
45,0,0.0015637604935136472
46,-0.00017544691947537621,0
47,0,-0.00053499444409373044
48,-0.0018752003358594488,0
49,0,0.0056021209008884736
50,0.011721801935774429,0
51,0,-0.013376960495085131
52,-0.0070317130015849711,0
53,0,0.10534191113570313
54,-0.09230849969486285,0
55,0,-0.044109928651596762
56,0.01481576094634042,0
57,0,0.0038637334161445943
58,-0.00083163010090790961,0
59,0,-0.00012194185654662794
60,0.00015503895544452363,0
61,0,-0.00050029724499729635
62,-0.0014997712277879877,0
63,0,0.003137644279605052
64,0.0035807196855803243,0
65,0,-0.0027969330768059424
66,-0.041900768575596291,0
67,0,-0.036716602325624605
68,0.017545155027314342,0
69,0,0.0058930941366436293
70,-0.0015369715899253467,0
71,0,-0.00032993932071065114
72,5.3184053913064826e-05,0
73,0,3.9784046335288583e-05
74,0.00011509966265166091,0
75,0,-0.00034676168381387381
76,-0.00072530161144161709,0
77,0,0.00082773321857344286
78,0.00089293017614810587,0
79,0,-0.01337695126256562
80,0.011721889981835791,0
81,0,0.0056013459681615663
82,-0.0018813855441680977,0
83,0,-0.00049070571551482569
84,0.00010519011438811121,0
85,0,1.7772696862527561e-05
86,-8.9909788680309353e-06,0
87,0,2.2521963144512428e-05
88,6.8356403850541612e-05,0
89,0,-0.00014293278349678448
90,-0.00016312148977504467,0
91,0,0.00023901794515816257
92,0.0035807147467424331,0
93,0,0.0031376913789069542
94,-0.0014993566857869943,0
95,0,-0.00050360595624382052
96,0.0001313471722367718,0
97,0,2.8181932952443961e-05
98,-4.6204102857299762e-06,0
99,0,-3.0470059491333722e-06
100,-8.4834524555543409e-06,0
101,0,2.5606122280703482e-05
102,5.3554641115825978e-05,0
103,0,-6.1118230433383495e-05
104,-5.5252350968998668e-05,0
105,0,0.00082773126288509331
106,-0.00072532026189300804,0
107,0,-0.00034659753285776787
108,0.00011640985103616598,0
109,0,3.0402538898050565e-05
110,-6.2621868084994898e-06,0
