#! daedalus 0.1.0
#! core_hash 38a7c906e0794c1d
#! implementacao c
#! graph_fingerprint 9234360424431944707
#! n 260
#! nnz 1008
#! nmod 2
#! scale 1
#! spectral_lo -4
#! spectral_hi 4
#! cheb_a 4
#! cheb_b 0
#! dt 0.33333333333333331
#! alpha 1.3333333333333333
#! cheb_k 16
#! lanczos_used 1
#! lambda2 0.025670575074611263
#! lambda2_residual 2.179510304493853e-08
#! lambda2_converged 1
#! modularity_Q 0.46825396825396826
#! mean_degree 3.8769230769230769
#! mean_path_len 9.8877338877338872
#! n_edges 504
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":2,"core_hash":"38a7c906e0794c1d","seed":2026,"graph":{"generator":"microtubule","params":{"n_par":20,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":2,"ws_p":0,"conn_mode":"rewire","p_in":0,"p_out":0,"n":64,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"none","lanczos_steps":40},"initial":{"site":100},"time":{"t1":4,"nt":12},"observables":{"target":7,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0,pmod1
0.33333333333333331,0.99999999999999978,0.42595202374348029,6.2760885078020747,2.3006259559625744e-17,0.99996347835631605,3.6521643683877675e-05
0.66666666666666663,1,0.084820394734049134,20.308253233567125,4.4593818277899002e-12,0.9979553381769678,0.0020446618230318468
1,1.0000000000000009,0.065191131129364963,33.616930880112243,3.9194619366172296e-09,0.98155479711767912,0.018445202882321154
1.3333333333333333,1.0000000000000002,0.034493414630931411,52.690137168799986,3.2233040734598749e-07,0.92560448727503941,0.074395512724960866
1.6666666666666665,0.99999999999999833,0.025074043550050804,77.977492027012588,6.0683972538909993e-06,0.81623852516584006,0.18376147483415986
2,1.0000000000000004,0.020072258041141149,87.168095878513554,3.4431143574386663e-05,0.686621228193799,0.31337877180620138
2.333333333333333,0.99999999999999978,0.013430853234249958,130.03464354547287,4.1988172468097189e-05,0.60487830259610265,0.39512169740389746
2.6666666666666665,1,0.013069762279097365,124.41815726344576,2.9855674037199727e-05,0.58980676176314484,0.41019323823685527
3,0.99999999999999967,0.0098265159424111154,160.35623685543442,0.0013397384998014091,0.59349745354657335,0.40650254645342659
3.333333333333333,0.99999999999999956,0.011182773582647772,150.75030014978478,0.0056952332495373544,0.58408902831607545,0.4159109716839246
3.6666666666666665,1.0000000000000004,0.013212533338453724,149.66828885048847,0.0080176240989831612,0.56403965333095241,0.43596034666904737
4,1.0000000000000007,0.013645254877630172,156.84447333496772,0.0023798254218355612,0.54823250705088666,0.45176749294911378

# estado final
j,re,im
0,0.067011663320209178,0
1,0,-0.10857213954837712
2,-0.1228207739097423,0
3,0,0.1717260660042001
4,0.067981143366979968,0
5,0,0.038429235319883133
6,0.13433841234477006,0
7,0,-0.048783454386047337
8,0.10394684892544885,0
9,0,-0.076209355893077549
10,0.10679895650625433,0
11,0,-0.053912362016000775
12,0.12851294515887976,0
13,0,-0.039966572803493042
14,-0.086118606215395979,0
15,0,0.047053136424594133
16,0.13301467754969251,0
17,0,-0.023817763815775838
18,0.013543727370680353,0
19,0,-0.088042401665357803
20,-0.027934980827249767,0
21,0,-0.06438290854034423
22,-0.049805715929928024,0
23,0,-0.06002341984988438
24,-0.019722109387442351,0
25,0,-0.10212800142392145
26,-0.035827553753313916,0
27,0,0.093121045350965284
28,-0.0096816517361697045,0
29,0,-0.14404831977003693
30,0.011175820092586426,0
31,0,0.0061760027551702474
32,-0.075213933468359293,0
33,0,0.0181655540809228
34,-0.047338138330816903,0
35,0,0.03682058645558748
36,-0.049975356507942797,0
37,0,0.022863609797974166
38,-0.067045224700683234,0
39,0,0.02821831621547221
40,0.033038847871613063,0
41,0,0.14548634406691399
42,-0.064128605506950001,0
43,0,-0.092994220204929437
44,0.052575662301272696,0
45,0,-0.014007963842966903
46,-0.021155614876702845,0
47,0,-0.030192323783242925
48,-0.019186878223847407,0
49,0,-0.024932407375783287
50,-0.0078158426802464997,0
51,0,-0.047411562762691109
52,-0.00397902880919687,0
53,0,0.0034046459668931705
54,0.20427816744846986,0
55,0,0.010021657768747061
56,-0.1285204190392365,0
57,0,-0.072846898439194036
58,-0.06330303141172787,0
59,0,0.04109369699190888
60,-0.071009589896929487,0
61,0,0.048974063223136181
62,-0.065350298924508249,0
63,0,0.027995740525878759
64,-0.094324053475192571,0
65,0,-0.0060318736781921093
66,-0.010900117618130877,0
67,0,-0.10108434888519537
68,0.022089681953752102,0
69,0,0.063121827486873325
70,-0.035634122586936039,0
71,0,0.021878557061081348
72,0.017724157001437549,0
73,0,0.028286413148564653
74,0.018156531053553481,0
75,0,0.028881249792974108
76,0.019007587896657865,0
77,0,0.018944326642643051
78,-0.018348469210160125,0
79,0,0.031832545309354601
80,0.11196811318542062,0
81,0,-0.044885853430552736
82,-0.067476715231883908,0
83,0,-0.038166026835449431
84,-0.061950450924597243,0
85,0,0.02922058646163804
86,-0.056249342158710046,0
87,0,0.040339291768298334
88,-0.053945114889485106,0
89,0,0.023699606148015827
90,-0.075272003735190579,0
91,0,-0.0089399442378273949
92,-0.015262117794774332,0
93,0,-0.15278149276341657
94,0.035102327470528383,0
95,0,0.096779700481447684
96,-0.054800558040074152,0
97,0,0.032300957543382941
98,0.026917180659782918,0
99,0,0.042762201203788236
100,0.02754710619885797,0
101,0,0.042758062553815333
102,0.026919995480959195,0
103,0,0.03228057465348428
104,-0.041569073218054337,0
105,0,0.073593223795015233
106,0.036879316438895832,0
107,0,-0.11555081034509831
108,-0.018274815493941658,0
109,0,-0.010422329101565944
110,-0.075187607622037217,0
111,0,0.023645529760046344
112,-0.053854529979933077,0
113,0,0.040298161973432729
114,-0.056177712735195923,0
115,0,0.029172711580669856
116,-0.061893024078250897,0
117,0,-0.010457834629061408
118,-0.018395706457832048,0
119,0,-0.11549743850844378
120,0.037121092738653293,0
121,0,0.073444068987412695
122,-0.041557442409301683,0
123,0,0.018649827215517896
124,0.018828951665841732,0
125,0,0.028582132320075455
126,0.018019203063357959,0
127,0,0.028061452640023236
128,0.017591193903154115,0
129,0,0.021626280385408304
130,-0.05486347224394824,0
131,0,0.096926238376604038
132,0.035408478405485,0
133,0,-0.15329491821535721
134,-0.015734632776340993,0
135,0,-0.008999640278546682
136,-0.095214223258297079,0
137,0,0.028601316978715787
138,-0.066313950795878193,0
139,0,0.049428590880294894
140,-0.071736249401448113,0
141,0,0.041488419886687909
142,-0.064231104876246295,0
