#! daedalus 0.1.0
#! core_hash 9cbcc100c8b73b07
#! implementacao c
#! graph_fingerprint 8483204644353045495
#! n 200
#! nnz 3276
#! nmod 4
#! scale 16.379999999999999
#! spectral_lo -1.4724006973928159
#! spectral_hi 0.86236179841846505
#! cheb_a 1.1673812479056405
#! cheb_b -0.30501944948717541
#! dt 0.41666666666666669
#! alpha 0.4864088532940169
#! cheb_k 12
#! lanczos_used 1
#! lambda2 1.8357080027117183
#! lambda2_residual 5.2010162797176678e-09
#! lambda2_converged 1
#! modularity_Q 0.64478778581342677
#! mean_degree 16.379999999999999
#! mean_path_len 2.4621105527638192
#! n_edges 1638
#! n_components 1
#! rewire_failed 0
#! spec {"format_version":1,"core_hash":"9cbcc100c8b73b07","seed":99,"graph":{"generator":"sbm","params":{"n_par":200,"n_perp":13,"seam_shift":3,"longitudinal_closed":false,"j_par":1,"j_perp":1,"n_modules":4,"ws_p":0,"conn_mode":"rewire","p_in":0.29999999999999999,"p_out":0.01,"n":200,"dim":6,"rows":8,"cols":8}},"hamiltonian":{"kind":"adjacency","gamma":1,"normalization":"mean_degree","lanczos_steps":40},"initial":{"site":0},"time":{"t1":5,"nt":12},"observables":{"target":199,"population":false,"module_concurrence":true,"full_concurrence":false,"pop_stride":1},"realizations":1}
t,norm,ipr,coh_l1,p_target,pmod0,pmod1,pmod2,pmod3
0.41666666666666669,0.99999999999999989,0.98207622801495964,0.98691176546182446,6.7500320908833811e-11,0.9987097242918902,0.0012887140247439912,8.3279765953929325e-07,7.2888570626425633e-07
0.83333333333333337,1.0000000000000004,0.93055580436346974,2.6883080475260464,4.2736026210183151e-09,0.9948845864799003,0.0050908240733244289,1.3107539385386607e-05,1.1481907390197581e-05
1.25,0.99999999999999978,0.85163978734571366,5.3495010395877163,4.772497218357885e-08,0.98865710064343604,0.01122165285985917,6.4579603298282174e-05,5.6666893406623613e-05
1.6666666666666667,0.99999999999999967,0.75403679610607699,9.1677245542744643,2.5989859067134922e-07,0.98023382594737529,0.019396567552160463,0.0001965941891307946,0.00017301231133334233
2.0833333333333335,1.0000000000000002,0.64715371871312266,14.236503214952895,9.4701696431688627e-07,0.9698767786094048,0.029260671507093043,0.00045780337215773758,0.00040474651134469867
2.5,0.99999999999999989,0.53949451765519552,20.504666921851307,2.6525423892257656e-06,0.95788237095553441,0.040421688916576243,0.00089729471290229967,0.00079864541498680594
2.916666666666667,1.0000000000000007,0.43764806748483004,27.763679234290478,6.1377110864185532e-06,0.94456130381860448,0.052480234207352476,0.0015585219850165226,0.0013999399890267516
3.3333333333333335,1,0.34595429754264156,35.669255789917806,1.2225696391898078e-05,0.93022212911292701,0.065053118506132573,0.0024751869331473705,0.002249565447792882
3.75,0.99999999999999933,0.26670499751896654,43.792096138715195,2.1488926389125674e-05,0.91515993656420125,0.077787759324919797,0.0036696987649974247,0.0033826053458808798
4.166666666666667,1.0000000000000004,0.20063311237895687,51.682765261000924,3.383238574127792e-05,0.89965018623845971,0.090368364235819287,0.0051541540673662812,0.0048272954583544921
4.5833333333333339,1.0000000000000002,0.147453597183095,58.935248562608045,4.8118231596927382e-05,0.88394650691010102,0.10251657960402207,0.0069331044639626936,0.0066038090219143891
5,1.0000000000000009,0.10628913854416867,65.248017286466322,6.2049696332181547e-05,0.86828060642159521,0.11399018434778602,0.0090068967972520807,0.0087223124333673414

# estado final
j,re,im
0,0.54891843309068011,-0.045946210275724653
1,0.058433461117974025,0.20434265666148205
2,0.0057216227872017231,-0.047486041963717016
3,-0.043371297979620013,-0.075974849263781341
4,-0.090488828212609951,0.14743664724529915
5,-0.039847568797312639,-0.05659764581908918
6,-0.080496083274369482,-0.055505961942863689
7,-0.14748806779713239,-0.037790101980935964
8,0.036089207745819904,-0.067800336016106882
9,-0.020483092808464241,-0.10416016531706995
10,0.085610179170293482,-0.04950730984239983
11,-0.095856070534559981,-0.062347224279175453
12,-0.0007505018393969172,-0.038428017373286064
13,-0.025113759783126206,0.17071535234553681
14,-0.010788666344323924,-0.035336437616144044
15,0.043406491811530834,0.1560688110186198
16,-0.017778268164897033,-0.035844808386521827
17,0.032537899917602364,-0.055534178783378386
18,-0.060008439448386783,-0.072619985113839963
19,0.0098224671103061059,0.13786959397017068
20,-0.026296813531049359,0.15800928885454876
21,-0.025844494744636539,-0.01553168842554906
22,-0.0022131055802558589,-0.071484004332532075
23,0.10092980507616639,-0.085592701641555496
24,-0.015591800146973544,-0.04940247468746705
25,-0.041949470378523306,-0.072068840187821795
26,-0.064432680457038941,-0.075845860659277203
27,-0.0056056845244508401,-0.072281163792120448
28,-0.019438621179100782,0.15467210322428174
29,-0.018807819135781619,-0.078983880658015218
30,-0.010072829407734879,-0.050240491222025986
31,-0.016529478132412088,-0.052366516522275031
32,-0.028786805753780786,0.10714317136775862
33,-0.034909225079324861,-0.058147162121450685
34,0.059031525976410093,0.16010281327334186
35,0.00066468964581393314,-0.06909405879064523
36,0.057859209228522376,-0.06230746082679333
37,0.08798152085077568,-0.06844974918678301
38,-0.025033941579480693,0.13732016068881123
39,-0.031567572335318178,-0.062033612148215955
40,0.043875037800533818,-0.082382874445224338
41,-0.021039698385039402,-0.06170895215257563
42,-0.013537163186595933,-0.069285358371995134
43,0.022754228686271791,-0.06526172852883777
44,-0.012167132221668825,-0.077276223876661804
45,0.034289386031247607,0.14222988648090695
46,0.013618197787705455,0.17818551283841497
47,0.060536130622955472,-0.056476027719598844
48,-0.022254117233654305,-0.08804924092882585
49,0.057148272487488105,-0.061806881307429666
50,0.020549623254836339,-0.014752023221929814
51,-0.021624715886191331,-0.0053240698121400035
52,-0.0065646439545586303,-0.013365425511359226
53,0.022023368737000781,-0.0079407725635382703
54,-0.018857837205669383,-0.01061364576512718
55,0.030405745885463204,-0.01127687029369015
56,0.028830338256435582,-0.012744208062146274
57,0.016491596049939473,-0.015634907464224624
58,0.019275354519376623,-0.002750927713753596
59,-0.0052869625166077107,-0.0071312972705344091
60,-0.0026419406922980693,-0.015053075912793134
61,-0.021201181245692476,-0.010421690099623043
62,-0.038078163754333927,-0.016161657118375732
63,-0.024806737845340994,-0.013640563110669806
64,0.0020826721881178427,-0.0037536019157923596
65,0.022397934529220245,-0.01074569682274612
66,-0.0032717036058760723,-0.015299296464664462
67,0.02026273265210778,-0.014825376448369546
68,0.01009142731898382,-0.0059881120182695008
69,-0.044702455391086485,-0.018162046431038616
70,0.039713900137323233,0.0068694849958028884
71,0.024693218558358335,-0.0085515970118144845
72,-0.038817894298651609,-0.017549182275497156
73,0.020423368190978536,-0.0080877703613709707
74,-0.017689207106211711,-0.01529946071236753
75,-0.0031366067970321015,-0.017475880133234707
76,0.038267359585522451,-0.020398906646588499
77,-0.011679184527340552,-0.0095469567037120683
